Brand,Model,CPU,CPU Score,RAM (GB),RAM Type,Storage (GB),GPU,Size (In),Color,Price ($),Refurbed,Open Box,Link
HP,ENVY x 360 15-ew1068nr ,i7-1355U,15987,16,DDR4-3200, 1000," Intel Iris Xe Graphics
",15.6,Silver,"899.96
",,x,https://www.microcenter.com/product/664646/hp-envy-x-360-15-ew1068nr-156-2-in-1-laptop-computer-mineral-silver
HP,Pavilion x360 Convertible 14-dy2035nr ,i7-1255U,13935,16,LPDDR4x-3200 Onboard, 1000," Intel Iris Xe Graphics
",14.0,Silver,"749.96
",,x,https://www.microcenter.com/product/649169/hp-pavilion-x360-convertible-14-dy2035nr-140-2-in-1-laptop-computer-silver?ob=1
HP,Spectre x360 16-f1008ca ,i7-1260P,17393,16,, 2000,,16,Black,1099.99,x,,https://www.microcenter.com/product/663614/hp-spectre-x360-16-f1008ca-16-intel-evo-platform-2-in-1-laptop-computer-(refurbished)-black
HP,Spectre x360 16-f1023dx ,i7-1260P,17393,16,DDR4-3200 Onboard, 1000 , Intel Arc A370M 4GB GDDR6,16,Black,1099.99,,,https://www.microcenter.com/product/666329/hp-spectre-x360-16-f1023dx-16-intel-evo-platform-2-in-1-laptop-computer-(refurbished)-nightfall-black
Microsoft,Surface Pro 9 ,i7-1255U,13935,16,LPDDR5, 256," Intel Iris Xe Graphics
",13,Platinum,1299.99,,,https://www.microcenter.com/product/659475/microsoft-surface-pro-9-13-2-in-1-intel-evo-platform-laptop-computer-platinum
Dell,XPS 13 9315 ,i5-1230U,10505,16,Onboard, 512," Intel Iris Xe Graphics
",13.4,Blue,1299.99,,,https://www.microcenter.com/product/661171/dell-xps-13-9315-134-intel-evo-platform-2-in-1-laptop-computer-blue
HP,ENVY x360 Convertible 15-es2168nr ,i7-1260P,17393,16,DDR4-3200, 512," Intel Iris Xe Graphics
",15.6,Silver,"1121.96
",,x,https://www.microcenter.com/product/651098/hp-envy-x360-convertible-15-es2168nr-156-intel-evo-platform-2-in-1-laptop-computer-silver
Microsoft,Surface Laptop Studio ,i5-11300H ,11005,16,LPDDR4x, 256," Intel Iris Xe Graphics
",14.4,Platinum,1399.99,,,https://www.microcenter.com/product/643148/microsoft-surface-laptop-studio-144-2-in-1-laptop-computer-platinum
Dell,XPS 13 9315 ,i7-1250U,12882,16,On-board, 1000," Intel Iris Xe Graphics
",13,Blue,1599.99,,,https://www.microcenter.com/product/661170/dell-xps-13-9315-13-2-in-1-intel-evo-platform-laptop-computer-blue
Microsoft,Surface Laptop Studio ,i5-11300H ,11005,16,LPDDR4x, 512," Intel Iris Xe Graphics
",14.4,Platinum,1599.99,,,https://www.microcenter.com/product/643128/microsoft-surface-laptop-studio-144-2-in-1-laptop-computer-platinum
Microsoft,Surface Pro 9 ,i7-1255U,13935,16,LPDDR5, 512," Intel Iris Xe Graphics
",13,Graphite,1599.99,,,https://www.microcenter.com/product/659479/microsoft-surface-pro-9-13-intel-evo-platform-2-in-1-laptop-computer-graphite
Microsoft,Surface Pro 9 ,i7-1255U,13935,16,LPDDR5, 512," Intel Iris Xe Graphics
",13,Platinum,1599.99,,,https://www.microcenter.com/product/659478/microsoft-surface-pro-9-13-intel-evo-platform-2-in-1-laptop-computer-platinum
Microsoft,Surface Laptop Studio ,i7-11370H,11818,16,LPDDR4x, 512," NVIDIA GeForce RTX 3050 Ti 4GB GDDR6
",14.4,Platinum,1899.99,,,https://www.microcenter.com/product/643137/microsoft-surface-laptop-studio-144-2-in-1-laptop-computer-platinum
Microsoft,Surface Laptop Studio ,i7-11370H,11818,32,LPDDR4x, 1000," NVIDIA GeForce RTX 3050 Ti 4GB GDDR6
",14.4,Platinum,2299.99,,,https://www.microcenter.com/product/643138/microsoft-surface-laptop-studio-144-2-in-1-laptop-computer-platinum
Microsoft,Surface Pro 9 ,i7-1255U,13935,32,LPDDR5, 1000," Intel Iris Xe Graphics
",13,Platinum,2299.99,,,https://www.microcenter.com/product/659481/microsoft-surface-pro-9-13-2-in-1-intel-evo-platform-laptop-computer-platinum
